file;width;height
bootloader/bmp_plug_usb;111;59
bootloader/bmp_usb_plugged;52;54
default_theme/alpha_stick_background;90;90
default_theme/alpha_stick_pointer;20;20
splash_logo;271;257
default_theme/mask_btn_close;30;30
default_theme/mask_btn_next;26;26
default_theme/mask_btn_prev;26;26
default_theme/mask_busy;96;96
default_theme/mask_currentmenu_bg;34;51
default_theme/mask_currentmenu_dot;13;13
default_theme/mask_currentmenu_shadow;36;53
default_theme/mask_edgetx;30;30
default_theme/mask_error;96;96
default_theme/mask_menu_model;30;30
default_theme/mask_menu_model_select;30;30
default_theme/mask_menu_notes;30;30
default_theme/mask_menu_radio;30;30
default_theme/mask_menu_stats;30;30
default_theme/mask_menu_theme;30;30
default_theme/mask_model_curves;30;30
default_theme/mask_model_flight_modes;30;30
default_theme/mask_model_grid_large;26;26
default_theme/mask_model_grid_small;26;26
default_theme/mask_model_gvars;30;30
default_theme/mask_model_heli;30;30
default_theme/mask_model_inputs;30;30
default_theme/mask_model_list_one;26;26
default_theme/mask_model_list_two;26;26
default_theme/mask_model_logical_switches;30;30
default_theme/mask_model_lua_scripts;30;30
default_theme/mask_model_mixer;30;30
default_theme/mask_model_outputs;30;30
default_theme/mask_model_setup;30;30
default_theme/mask_model_special_functions;30;30
default_theme/mask_model_telemetry;30;30
default_theme/mask_model_usb;30;30
default_theme/mask_monitor;30;30
default_theme/mask_monitor_inver;11;16
default_theme/mask_monitor_lockch;11;16
default_theme/mask_monitor_logsw;30;30
default_theme/mask_mplex_add;25;17
default_theme/mask_mplex_multi;25;17
default_theme/mask_mplex_replace;25;17
default_theme/mask_radio_calibration;30;30
default_theme/mask_radio_edit_theme;30;30
default_theme/mask_radio_global_functions;30;30
default_theme/mask_radio_hardware;30;30
default_theme/mask_radio_sd_browser;30;30
default_theme/mask_radio_setup;30;30
default_theme/mask_radio_tools;30;30
default_theme/mask_radio_trainer;30;30
default_theme/mask_radio_version;30;30
default_theme/mask_shutdown;96;96
default_theme/mask_stats_analogs;30;30
default_theme/mask_stats_debug;30;30
default_theme/mask_stats_timers;30;30
default_theme/mask_textline_curve;17;17
default_theme/mask_textline_fm;17;17
default_theme/mask_theme_add_view;30;30
default_theme/mask_theme_setup;30;30
default_theme/mask_theme_view1;30;30
default_theme/mask_theme_view10;30;30
default_theme/mask_theme_view2;30;30
default_theme/mask_theme_view3;30;30
default_theme/mask_theme_view4;30;30
default_theme/mask_theme_view5;30;30
default_theme/mask_theme_view6;30;30
default_theme/mask_theme_view7;30;30
default_theme/mask_theme_view8;30;30
default_theme/mask_theme_view9;30;30
default_theme/mask_tools_apps;30;30
default_theme/mask_tools_reset;30;30
default_theme/mask_top_logo;122;25
default_theme/mask_topleft;45;45
default_theme/mask_topright;45;45
default_theme/mask_trim;15;15
default_theme/mask_trim_shadow;17;17
mask_antenna;18;17
mask_dot;13;13
mask_round_title_left;4;20
mask_round_title_right;4;20
mask_shutdown_circle0;75;75
mask_shutdown_circle1;75;75
mask_shutdown_circle2;75;75
mask_shutdown_circle3;75;75
mask_timer;62;62
mask_timer_bg;180;70
mask_topmenu_gps_18;18;18
mask_topmenu_usb;22;10
mask_txbat;24;12
mask_txbat_charging;5;15
mask_usb_symbol;211;110
volume/mask_volume_0;18;16
volume/mask_volume_1;15;16
volume/mask_volume_2;19;16
volume/mask_volume_3;24;16
volume/mask_volume_4;30;16
volume/mask_volume_scale;15;16
